Time,CPU_CAP,CPU_USAGE,MEM_CAP,MEM_USAGE,CPU_AVAI,MEM_AVAI,NET_IN,NET_OUT,VBD_OO,VBD_RD,VBD_WR,LOAD1,LOAD5,Label
1316327297,100,28,511,441,72,70,12,57,0,0,0,0.76,0.52,0
1316327298,100,38,511,441,62,70,9,44,0,0,0,0.70,0.52,0
1316327299,100,13,511,441,87,70,8,36,0,0,0,0.70,0.52,0
1316327300,100,45,511,441,55,70,9,48,0,0,0,0.70,0.52,0
1316327301,100,30,511,441,70,70,11,57,0,0,0,0.70,0.52,0
1316327302,100,19,511,441,81,70,12,53,0,0,0,0.70,0.52,0
1316327303,100,29,511,441,71,70,10,43,0,0,0,0.89,0.56,0
1316327304,100,12,511,441,88,70,9,57,0,0,0,0.89,0.56,0
1316327305,100,19,511,441,81,70,7,28,0,0,0,0.89,0.56,0
1316327306,100,11,511,441,89,70,5,23,0,0,0,0.89,0.56,0
1316327307,100,21,511,441,79,70,8,34,0,0,0,0.89,0.56,0
1316327308,100,41,511,441,59,70,11,50,0,0,0,0.81,0.55,0
1316327309,100,15,511,441,85,70,8,44,0,0,0,0.81,0.55,0
1316327310,100,20,511,441,80,70,6,33,0,0,0,0.81,0.55,0
1316327311,100,34,511,441,66,70,11,45,0,0,0,0.81,0.55,0
1316327312,100,26,511,441,74,70,8,43,0,0,0,0.81,0.55,0
1316327313,100,19,511,441,81,70,8,40,0,0,0,0.75,0.54,0
1316327314,100,34,511,441,66,70,12,62,0,0,0,0.75,0.54,0
1316327315,100,30,511,441,70,70,7,36,0,0,0,0.75,0.54,0
1316327316,100,11,511,441,89,70,10,37,0,0,0,0.75,0.54,0
1316327317,100,11,511,441,89,70,8,48,0,0,0,0.75,0.54,0
1316327318,100,36,511,441,64,70,12,60,0,0,0,1.01,0.59,0
1316327319,100,42,511,441,58,70,14,67,0,0,0,1.01,0.59,0
1316327320,100,15,511,441,85,70,8,45,0,0,0,1.01,0.59,0
1316327321,100,33,511,441,67,70,16,97,0,0,0,1.01,0.59,0
1316327322,100,53,511,441,47,70,15,78,0,0,0,1.01,0.59,0
1316327323,100,41,511,441,59,70,10,60,0,0,0,1.01,0.60,0
1316327324,100,50,511,441,50,70,11,47,0,0,0,1.01,0.60,0
1316327325,100,31,511,441,69,70,9,47,0,0,0,1.01,0.60,0
1316327326,100,25,511,441,75,70,10,46,0,0,0,1.01,0.60,0
1316327327,100,17,511,441,83,70,11,53,0,0,0,1.01,0.60,0
1316327328,100,18,511,441,82,70,10,51,0,0,0,0.93,0.59,0
1316327329,100,27,511,441,73,70,9,36,0,0,0,0.93,0.59,0
1316327330,100,35,511,441,65,70,26,38,0,0,0,0.93,0.59,0
1316327331,100,38,511,441,62,70,14,85,0,0,0,0.93,0.59,0
1316327332,100,28,511,441,72,70,12,53,0,0,0,0.93,0.59,0
1316327333,100,17,511,441,83,70,10,51,0,0,0,0.85,0.58,0
1316327334,100,21,511,441,79,70,8,35,0,0,0,0.85,0.58,0
1316327335,100,26,511,441,74,70,13,64,0,0,0,0.85,0.58,0
1316327336,100,21,511,441,79,70,13,56,0,0,0,0.85,0.58,0
1316327337,100,47,511,441,53,70,10,55,0,0,0,0.85,0.58,0
1316327338,100,52,511,441,48,70,13,53,0,0,0,0.78,0.57,0
1316327339,100,34,511,441,66,70,12,47,0,0,0,0.78,0.57,0
1316327340,100,27,511,441,73,70,12,49,0,0,0,0.78,0.57,0
1316327341,100,23,511,441,77,70,12,69,0,0,0,0.78,0.57,0
1316327342,100,20,511,441,80,70,11,51,0,0,0,0.78,0.57,0
1316327343,100,15,511,441,85,70,12,47,0,0,0,0.72,0.56,0
1316327344,100,22,511,441,78,70,12,60,0,0,0,0.72,0.56,0
1316327345,100,11,511,441,89,70,7,35,0,0,0,0.72,0.56,0
1316327346,100,33,511,441,67,70,11,48,0,0,0,0.72,0.56,0
1316327347,100,18,511,441,82,70,10,40,0,0,0,0.72,0.56,0
1316327348,100,35,511,441,65,70,12,53,0,0,0,0.74,0.57,0
1316327349,100,32,511,441,68,70,9,47,0,0,0,0.74,0.57,0
1316327350,100,16,511,441,84,70,8,40,0,0,0,0.74,0.57,0
1316327351,100,16,511,441,84,70,7,24,0,0,0,0.74,0.57,0
1316327352,100,16,511,441,84,70,9,54,0,0,0,0.74,0.57,0
1316327353,100,40,511,441,60,70,14,57,0,0,0,0.76,0.57,0
1316327354,100,15,511,441,85,70,11,47,0,0,0,0.76,0.57,0
1316327355,100,28,511,441,72,70,10,54,0,0,0,0.76,0.57,0
1316327356,100,8,511,441,92,70,9,53,0,0,0,0.76,0.57,0
1316327357,100,18,511,441,82,70,10,54,0,0,0,0.76,0.57,0
1316327358,100,27,511,441,73,70,8,38,0,0,0,0.70,0.56,0
1316327359,100,25,511,441,75,70,8,30,0,0,0,0.70,0.56,0
1316327360,100,12,511,441,88,70,7,36,0,0,0,0.70,0.56,0
1316327361,100,60,511,441,40,70,17,81,0,0,0,0.70,0.56,0
1316327362,100,10,511,441,90,70,9,46,0,0,0,0.70,0.56,0
1316327363,100,31,511,441,69,70,13,64,0,0,0,0.73,0.57,0
1316327364,100,27,511,441,73,70,11,51,0,0,0,0.73,0.57,0
1316327365,100,19,511,441,81,70,8,29,0,0,0,0.73,0.57,0
1316327366,100,34,511,441,66,70,9,46,0,0,0,0.73,0.57,0
1316327367,100,40,511,441,60,70,9,39,0,0,0,0.73,0.57,0
1316327368,100,38,511,441,62,70,7,35,0,0,0,0.75,0.58,0
1316327369,100,23,511,441,77,70,9,43,0,0,0,0.75,0.58,0
1316327370,100,31,511,441,69,70,9,31,0,0,0,0.75,0.58,0
1316327371,100,27,511,441,73,70,8,38,0,0,0,0.75,0.58,0
1316327372,100,57,511,441,43,70,10,45,0,0,0,0.75,0.58,0
1316327373,100,48,511,441,52,70,7,37,0,0,0,0.69,0.57,0
1316327374,100,16,511,441,84,70,9,52,0,0,0,0.69,0.57,0
